index,Регион,Child_mortality_rural,Child_mortality_urban,Disabled_18_30,Disabled_31_60,Disabled_61_,Disabled_total,Morbidity_onko,Morbidity_psiho,Morbidity_total,Poverty_percent,Welfare,Cash_income,Socdem_deti,Socdem_pens,Socdem_trud,Housing_live,Population,GRP,Reg_prod_manufactor,Reg_prod_mining,Reg_prod_total,Retail,Alco,Drug,Newborn,Сrimes_drug,Сrimes_total
73,Республика Бурятия,71.0,67.95,50383.18,366961.73,661033.36,1111101.73,2577.39,1458.5,34884.22,25.64,17.79,24480.33,43.5,4.95,51.58,17.2,977165.27,162119.78,59762552.86,23845420.35,175445971.18,103175.82,84.61,7.4,14446.95,4528.14,11876.14
74,Забайкальский край,54.14,96.09,50890.68,363185.36,676159.09,1122958.59,2576.66,1609.67,37505.33,26.11,18.38,23932.67,37.3,7.85,54.85,17.1,1103461.55,179869.84,20825951.09,79782683.97,222698594.26,90280.5,123.09,8.87,14774.18,4789.5,12609.32
75,Республика Саха (Якутия),56.18,80.32,49872.27,353896.73,615734.5,1052226.95,2574.76,1639.92,54237.92,19.56,16.01,41844.83,45.2,5.43,49.38,16.5,960358.55,520123.63,29956571.68,525952615.56,1057978932.61,132482.86,189.31,8.25,14224.41,4121.86,10249.0
76,Камчатский край,8.82,29.91,40613.05,301818.86,570934.0,946089.36,2586.07,1638.38,44679.66,18.05,15.91,48132.0,41.55,3.0,55.45,15.9,328276.68,384720.18,78668007.14,15679857.95,199102383.96,109651.09,135.0,9.14,6074.27,3257.82,8556.68
77,Приморский край,69.95,154.05,52834.36,392786.59,723624.0,1201968.41,2585.41,1672.5,41288.5,23.34,18.03,33902.0,41.55,5.55,52.9,15.7,1967523.45,261893.01,184160829.27,16746259.61,436428804.78,113732.59,106.55,24.95,19323.04,4555.86,12800.82
78,Хабаровский край,39.82,127.5,47890.95,350131.0,658113.64,1088859.05,2584.94,1561.58,38427.82,17.84,17.86,38567.67,37.52,8.02,54.48,15.4,1358351.68,300749.94,216055165.02,44511973.5,537919740.2,131946.32,131.78,11.12,15407.86,4163.23,11605.18
79,Амурская область,53.41,79.05,47368.82,348660.59,658029.14,1086782.0,2584.06,1584.9,41204.68,24.29,18.61,30861.5,38.2,5.62,56.18,17.3,834484.77,240725.12,27412296.96,58775378.13,200212561.39,114297.32,120.15,19.9,10720.95,3963.45,10724.27
80,Магаданская область,0.95,15.5,39262.41,294246.14,556948.91,923180.91,2583.68,1731.74,42922.03,15.39,15.3,58826.83,37.0,7.75,54.95,13.8,158735.5,569694.61,47356788.62,59655484.32,213206531.04,122143.05,247.66,15.91,4505.91,3128.0,8101.95
81,Сахалинская область,8.5,40.41,42137.91,310526.64,582619.45,968007.45,2596.76,1817.24,46865.69,15.64,15.65,53568.33,38.38,6.87,54.42,17.2,506876.91,994402.75,43741040.26,622100947.36,1148747626.34,177910.0,227.22,21.93,7762.86,3493.36,9174.77
82,Еврейская автономная область,12.86,20.55,40256.41,299954.45,570977.18,943911.5,2614.85,1600.66,36160.83,26.86,18.89,24975.5,34.12,9.65,56.22,13.8,174013.91,197632.16,4978295.51,6365494.34,27048151.26,88365.09,150.02,25.81,4875.14,3087.68,8055.5
83,Чукотский автономный округ,8.45,5.0,38771.0,290518.18,551904.77,913917.41,2578.72,1912.45,63916.76,14.71,13.9,75961.83,34.3,1.85,38.55,14.1,51510.36,836910.67,20657431.77,39395908.98,115641100.84,105641.32,331.56,5.58,3772.14,3017.86,7753.09
84,Чеченская Республика,37.95,72.41,103685.32,591551.05,620396.27,1348356.09,2564.55,3891.91,35140.399999999994,13.2,19.56,23330.5,46.02,6.65,47.32,19.2,1283413.45,88879.9,7495875.74,4971206.78,44971576.67,57404.73,65.81,9.51,26811.9,2982.64,7877.95
